date,lst
2018-01-23,22.082
2018-02-08,21.369
2018-02-08,21.363
2018-02-24,25.897
2018-03-12,27.636
2018-03-12,27.617
2018-03-28,30.335
2018-03-28,30.321
2018-04-13,28.483
2018-04-13,28.472
2018-04-29,27.959
2018-04-29,27.967
2018-05-15,27.613
2018-05-15,27.606
2018-06-16,29.363
2018-06-16,29.363
2018-10-06,29.235
2018-10-06,29.223
2018-10-22,28.295
2018-10-22,28.281
2018-11-07,26.901
2018-11-07,26.892
2018-11-23,24.821
2018-11-23,24.818
2018-12-09,22.974
2018-12-09,22.973
2018-12-25,21.449
2018-12-25,21.443
2019-01-10,20.729
2019-01-10,20.728
2019-02-11,22.666
2019-02-11,22.652
2019-03-31,29.753
2019-03-31,29.734
2019-05-02,30.604
2019-05-18,29.772
2019-05-18,29.765
2019-06-03,28.132
2019-07-21,25.739
2019-07-21,25.735
2019-11-10,26.059
2019-11-10,26.048
2019-11-26,24.786
2020-01-13,20.144
2020-01-29,20.511
2020-01-29,20.51
2020-02-14,23.238
2020-02-14,23.229
2020-03-17,24.996
2020-03-17,24.988
2020-04-02,28.591
2020-04-02,28.577
2020-10-27,28.165
2020-10-27,28.16
2020-11-12,24.75
2020-11-12,24.742
2020-11-28,24.11
2020-11-28,24.11
2020-12-14,21.751
2020-12-30,20.542
2020-12-30,20.539
