date,mtsi
2018-01-23,52.183
2018-02-08,52.985
2018-02-08,53.158
2018-02-24,53.22
2018-03-12,53.475
2018-03-12,53.598
2018-03-28,56.823
2018-03-28,56.892
2018-04-13,55.498
2018-04-13,55.552
2018-04-29,58.095
2018-04-29,58.112
2018-05-15,58.762
2018-05-15,58.763
2018-06-16,58.746
2018-06-16,58.743
2018-10-06,57.823
2018-10-06,57.847
2018-10-22,55.42
2018-10-22,55.507
2018-11-07,54.608
2018-11-07,54.691
2018-11-23,54.116
2018-11-23,54.217
2018-12-09,54.603
2018-12-09,54.691
2018-12-25,53.118
2018-12-25,53.231
2019-01-10,51.806
2019-01-10,51.923
2019-02-11,51.707
2019-02-11,51.839
2019-03-31,56.001
2019-03-31,56.086
2019-05-02,57.412
2019-05-18,58.138
2019-05-18,58.141
2019-06-03,57.51
2019-07-21,57.759
2019-07-21,57.75
2019-11-10,55.363
2019-11-10,55.439
2019-11-26,53.77
2020-01-13,53.054
2020-01-29,52.751
2020-01-29,52.797
2020-02-14,52.427
2020-02-14,52.602
2020-03-17,53.909
2020-03-17,54.021
2020-04-02,54.45
2020-04-02,54.541
2020-10-27,54.26
2020-10-27,54.388
2020-11-12,52.805
2020-11-12,52.941
2020-11-28,52.827
2020-11-28,52.961
2020-12-14,52.558
2020-12-30,53.93
2020-12-30,53.989
